collected_at,start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,event_type,format,highlights,note,url,welcome_match,member_type
3/22,2026/09/14,15:00,,体育会 バスケットボール部（男子）,明治大 vs 中央大学,明治大学和泉キャンパス,東京都杉並区永福1-9-1,,,,,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
5/9,2026/9/19,,09/22,体育会 ヨット部,全日本女子,葉山港,神奈川県三浦郡葉山町堀内50,,,,,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view,,
3/16,2026/9/23,18:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 中央大学,中央大学多摩キャンパスサッカー場,東京都日野市程久保5-9-2,,,,,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
2026/03/13 17:48:00,2026/09/26,18:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs ⽇本大学,日本大学アスレティックパーク稲城 サッカーフィールド,東京都稲城市坂浜1382,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
3/22,2026/09/27,13:00,,体育会 バスケットボール部（男子）,明治大 vs 神奈川大学,白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.,,,,,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/09/28,13:00,,体育会 バスケットボール部（男子）,明治大 vs 大東文化大学,白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.,,,,,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
2026/03/13 17:48:00,2026/10/03,14:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 駒澤大学,明治大学八幡山グラウンド,東京都世田谷区八幡山2-18-10,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
3/22,2026/10/04,11:00,,体育会 バスケットボール部（男子）,明治大 vs 東海大学,専修大学生田キャンパス,神奈川県川崎市多摩区東三田2-1-1,,,,※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/10/05,17:00,,体育会 バスケットボール部（男子）,明治大 vs 日本体育大学,日本体育大学世田谷キャンパス,東京都世田谷区深沢7丁目1−1,,,,※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
5/9,2026/10/9,,10/11,体育会 ヨット部,全日本個選,新西宮ヨットハーバー,兵庫県西宮市西宮浜4丁目16−1,,,,,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view,,
