team,tournament_name_sample,occurrence_count,years_seen,sample_url
体育会 準硬式野球部,2026年度東京六大学準硬式野球春季リーグ戦　対法政,2,,https://www.instagram.com/p/DVvQURfkhqd/?igsh=MW5lODJiZ3VoMXE2cA==
体育会 相撲部,東日本学生相撲リーグ戦,3,"2023,2024,2025",http://www.nihonsumo-renmei.jp/yotei/index.html
体育会 相撲部,全国学生相撲選手権大会,3,"2023,2024,2025",主要大会予定 - 公益財団法人 日本相撲連盟 (nihonsumo-renmei.jp)
体育会 相撲部,東日本学生相撲個人体重別選手権大会,2,"2024,2025",http://www.nihonsumo-renmei.jp/yotei/
体育会 硬式庭球部,全日本学生室内テニス選手権大会,2,"2023,2026",https://alljapanintercollegiate-tennis.r-cms.jp/gametennis_list/
体育会 硬式野球部,秋季リーグ戦,10,2024,https://www.big6.gr.jp/game/league/2024a/2024a_schedule.html
体育会 硬式野球部,東京六大学野球2025年秋季リーグ戦 対東大,2,2025,http://meiji-bbc.net/news/game/2025s_autumn_league/
体育会 硬式野球部,東京六大学野球2025年秋季リーグ戦 対慶応,2,2025,http://meiji-bbc.net/news/game/2025s_autumn_league/
体育会 硬式野球部,東京六大学野球2025年秋季リーグ戦 対法政,2,2025,http://meiji-bbc.net/news/game/2025s_autumn_league/
体育会 硬式野球部,東京六大学野球2025年秋季リーグ戦 対早稲田,2,2025,http://meiji-bbc.net/news/game/2025s_autumn_league/
体育会 硬式野球部,東京六大学野球2025年秋季リーグ戦 対立教,2,2025,http://meiji-bbc.net/news/game/2025s_autumn_league/
体育会 硬式野球部,第五十六回明治神宮野球大会,2,2025,https://www.student-baseball.or.jp/game/jingu/2025/2025jingu.html
体育会 硬式野球部,宮崎キャンプ,2,2026,http://meiji-bbc.net/news/camp/2026_miyazakicamp/
体育会 空手部,第51回関東学生空手道選手権大会,3,"2023,2024,2025",https://www.jukf.org/modules/d3diary/index.php?page=detail&bid=100&req_uid=1
体育会 空手部,第59回東日本大学空手道選手権大会,2,"2023,2025",https://www.jukf.org/modules/d3diary/index.php?page=detail&bid=94&req_uid=1
体育会 空手部,第６８回関東大学空手道選手権大会,2,"2024,2025",https://www.jukf.org/modules/tinyd03/
体育会 空手部,第３６回関東学生空手道体重別選手権大会,2,"2024,2025",https://www.jukf.org/modules/tinyd03/
体育会 空手部,第６９回全日本大空手道選手権大会,2,"2024,2025",https://www.jukf.org/modules/tinyd03/
体育会 空手部,和道会全国大会,2,2025,https://meidai-karatebu.net/schedule/
体育会 端艇部,第103回全日本ローイング選手権大会,2,"2023,2025",第101回全日本ローイング選手権大会 | 競技者 | 日本ローイング協会 (jara.or.jp)
体育会 端艇部,第52回全日本大学ローイング選手権大会,2,"2023,2025",https://www.jara.or.jp/race/current/2023intercollege.html
体育会 競走部,第18回世田谷246ハーフマラソン,2,2023,https://meiji-kyoso.com/schedule/
体育会 競走部,町田ディスタンスチャレンジ2023,2,2023,https://meiji-kyoso.com/schedule/
体育会 競走部,第27回ひろしま県央競歩大会2023,2,2023,https://hiroshimatf.org/schedule/10856/
体育会 競走部,第７２回元旦競歩大会 兼第８６回東京陸上競技選手権大会競歩大会,2,2024,
体育会 競走部,箱根駅伝,2,2024,
体育会 競走部,熊本城マラソン2024 金栗記念第66回熊日30キロロードレース,2,2024,https://kumamotojyo-marathon.jp/outline.php
体育会 競走部,第27回日本学生ハーフマラソン選手権大会併催,2,2024,https://kumamotojyo-marathon.jp/outline.php
体育会 競走部,第48回全日本競歩能美大会,2,2024,https://www.jaaf.or.jp/competition/detail/1815/
体育会 競走部,"秩父宮賜杯第56回全日本大学駅伝対校選手権大会
 関東学生陸上競技連盟推薦校選考会",2,"2024,2026",https://www.kgrr.org/competition/?id=100
体育会 競走部,第108回日本陸上競技選手権大会・リレー競技,2,"2024,2025",https://www.jaaf.or.jp/competition/detail/1882/
体育会 競走部,第102回東京箱根間往復大学駅伝競走予選会,2,"2024,2025",https://www.kgrr.org/competition/?id=110　　　https://www.kgrr.org/files/competition/110/10/course%20map.pdf
体育会 自動車部,全日本学生ジムカーナ選手権大会,2,"2023,2024",https://www.ajsaa-alljapan.org/blank-2
